,下一交易日USDTWD收盤價,USDTWD開盤價,USDTWD最高價,USDTWD最低價,下一交易日間隔,標普500,美國近1月國債殖利率,美國近3月國債殖利率,美國近6月國債殖利率,美國1年期國債殖利率,美國10年期國債殖利率,美國30年期國債殖利率,美國聯邦資金有效利率,美國CPI,美國PPI,美國非農業就業人數,美國失業率,GDP,台灣指數,台灣2年期公債殖利率,台灣10年期公債殖利率,台灣重貼現率,台灣CPI,台灣國產內銷物價指數,台灣GDP,台灣失業率,美國經濟自由度指數,台灣經濟自由度指數,中國經濟自由度指數,時間序列
2006-05-23,32.04499816894531,32.13999938964844,32.18600082397461,31.937999725341797,1.0,1256.5799560546875,4.75,4.84,5.02,5.113548387096774,5.11,5.1645161290322585,4.94,201.65483870967742,166.01290322580644,136304.48387096773,4.6,13820.146285714287,6843.97998046875,1.94,2.12,2.375,85.53129032258065,87.77322580645162,93660.72527472528,3.824516129032258,80.40931506849316,70.6731506849315,53.66082191780822,508
2006-05-26,32.07500076293945,32.125,32.125,32.029998779296875,3.0,1280.1600341796875,4.75,4.84,5.02,5.129032258064516,5.11,5.159677419354839,4.99,201.70322580645163,166.04193548387096,136312.32258064515,4.6,13823.995648351649,6879.509765625,1.95,2.235,2.375,85.6058064516129,88.00451612903225,93679.61538461539,3.830322580645161,80.42,70.66,53.660000000000004,511
2006-06-01,31.969999313354492,32.03499984741211,32.150001525878906,32.03499984741211,1.0,1285.7099609375,4.75,4.83,5.06,5.16,5.11,5.15,5.02,201.8,166.1,136328.0,4.6,13831.694373626375,6872.83984375,1.93,2.157,2.379166666666667,85.74333333333334,88.43866666666666,93717.3956043956,3.8446666666666665,80.4413698630137,70.63369863013699,53.65835616438356,517
2006-06-02,32.084999084472656,32.150001525878906,32.150001525878906,32.04999923706055,3.0,1288.219970703125,4.75,4.81,5.01,5.162,5.109333333333334,5.149333333333334,4.97,201.83666666666667,166.12333333333333,136334.46666666667,4.603333333333333,13832.977494505494,6959.64013671875,1.94,2.2,2.3833333333333333,85.75666666666667,88.48733333333334,93723.69230769231,3.849333333333333,80.44493150684931,70.62931506849316,53.65808219178082,518
2006-06-08,32.439998626708984,32.25,32.55799865722656,32.25,1.0,1257.9300537109375,4.78,4.87,5.06,5.174,5.105333333333333,5.145333333333333,5.02,202.05666666666667,166.26333333333332,136373.26666666666,4.623333333333333,13840.67621978022,6331.81005859375,1.89,2.144,2.408333333333333,85.83666666666667,88.77933333333333,93761.47252747252,3.877333333333333,80.46630136986302,70.60301369863014,53.65643835616439,524
2006-06-09,32.54199981689453,32.54999923706055,32.54999923706055,32.439998626708984,3.0,1252.300048828125,4.78,4.88,5.07,5.176,5.104666666666667,5.144666666666667,5.0,202.09333333333333,166.28666666666666,136379.73333333334,4.626666666666666,13841.959340659341,6444.6298828125,1.9,2.172,2.4125,85.85,88.828,93767.76923076923,3.8819999999999997,80.46986301369863,70.5986301369863,53.656164383561645,525
2006-06-13,32.59000015258789,32.54199981689453,32.67599868774414,32.54199981689453,1.0,1223.68994140625,4.72,4.89,5.13,5.184,5.102,5.142,5.0,202.24,166.38,136405.6,4.64,13847.091824175825,6337.2099609375,1.91,2.18,2.4291666666666667,85.90333333333334,89.02266666666667,93792.95604395604,3.9006666666666665,80.4841095890411,70.58109589041096,53.65506849315069,529
2006-06-14,32.529998779296875,32.67499923706055,32.67499923706055,32.47999954223633,1.0,1230.0400390625,4.68,4.9,5.17,5.186,5.101333333333334,5.141333333333334,5.0,202.27666666666667,166.40333333333334,136412.06666666668,4.6433333333333335,13848.374945054946,6469.009765625,1.9,2.2,2.433333333333333,85.91666666666667,89.07133333333333,93799.25274725274,3.905333333333333,80.48767123287672,70.57671232876713,53.654794520547945,530
2006-06-28,32.61000061035156,32.65399932861328,32.70000076293945,32.63600158691406,1.0,1246.0,4.79,5.01,5.31,5.2139999999999995,5.092,5.132,5.06,202.79000000000002,166.73000000000002,136502.6,4.69,13866.338637362638,6540.93017578125,1.88,2.191,2.4916666666666667,86.10333333333332,89.75266666666666,93887.40659340659,3.970666666666667,80.53753424657535,70.51534246575342,53.650958904109594,544
2006-06-29,32.37699890136719,32.70000076293945,32.70000076293945,32.564998626708984,1.0,1272.8699951171875,4.68,5.01,5.26,5.216,5.091333333333333,5.131333333333333,5.08,202.82666666666668,166.75333333333333,136509.06666666668,4.693333333333333,13867.621758241758,6607.39013671875,1.87,2.19,2.495833333333333,86.11666666666666,89.80133333333333,93893.7032967033,3.9753333333333334,80.54109589041096,70.51095890410959,53.65068493150685,545
2006-07-03,32.231998443603516,32.42499923706055,32.42499923706055,32.27000045776367,1.0,1280.18994140625,4.69,5.08,5.31,5.210967741935484,5.0764516129032256,5.121612903225806,5.25,202.95806451612904,166.8709677419355,136532.70967741936,4.7,13873.87,6718.5,1.88,2.158,2.5,86.14838709677419,89.98548387096774,94022.93478260869,3.986774193548387,80.55534246575343,70.49342465753425,53.64958904109589,549
2006-07-05,32.48500061035156,32.29499816894531,32.38800048828125,32.29199981689453,1.0,1270.9100341796875,4.81,5.01,5.32,5.201935483870968,5.062903225806451,5.113225806451613,5.25,203.01612903225808,166.941935483871,136543.4193548387,4.7,13877.552,6659.9599609375,1.86,2.175,2.5,86.16064516129032,90.0758064516129,94104.89130434782,3.991290322580645,80.56246575342466,70.48465753424658,53.64904109589041,551
