"日期","收市","開市","高","低","升跌（%）"
"2023-9-20","1.545","1.545","1.545","1.545","0.00%"
"2023-9-19","1.545","1.575","1.575","1.545","-1.90%"
"2023-9-18","1.575","1.565","1.575","1.565","0.64%"
"2023-9-15","1.565","1.565","1.565","1.565","0.00%"
"2023-9-14","1.565","1.555","1.565","1.555","0.64%"
"2023-9-13","1.555","1.565","1.565","1.555","-0.64%"
"2023-9-12","1.565","1.575","1.575","1.565","-0.63%"
"2023-9-11","1.575","1.555","1.575","1.555","1.29%"
"2023-9-8","1.555","1.565","1.565","1.555","-0.64%"
"2023-9-7","1.565","1.565","1.565","1.565","0.00%"
"2023-9-6","1.565","1.566","1.566","1.565","-0.06%"
"2023-9-5","1.566","1.566","1.566","1.566","0.00%"
"2023-9-4","1.566","1.566","1.566","1.566","0.00%"
"2023-9-1","1.566","1.565","1.566","1.565","0.06%"
"2023-8-31","1.565","1.585","1.585","1.565","-1.26%"
"2023-8-30","1.585","1.575","1.585","1.575","0.63%"
"2023-8-29","1.575","1.565","1.575","1.565","0.64%"
"2023-8-28","1.565","1.565","1.565","1.565","0.64%"
"2023-8-25","1.555","1.555","1.555","1.555","0.00%"
"2023-8-24","1.555","1.555","1.555","1.555","0.00%"
"2023-8-23","1.555","1.555","1.555","1.555","0.00%"
"2023-8-22","1.555","1.535","1.555","1.535","1.30%"
"2023-8-21","1.535","1.525","1.535","1.525","0.66%"
"2023-8-18","1.525","1.525","1.525","1.525","0.00%"
"2023-8-17","1.525","1.525","1.525","1.525","0.00%"
"2023-8-16","1.525","1.515","1.525","1.515","0.66%"
"2023-8-15","1.515","1.495","1.515","1.495","1.34%"
"2023-8-14","1.495","1.495","1.495","1.495","0.00%"
"2023-8-11","1.495","1.495","1.495","1.495","0.67%"
"2023-8-10","1.485","1.485","1.485","1.485","0.00%"
"2023-8-9","1.485","1.485","1.485","1.485","0.00%"
"2023-8-8","1.485","1.485","1.485","1.485","0.00%"
"2023-8-7","1.485","1.495","1.495","1.485","-0.67%"
"2023-8-4","1.495","1.495","1.495","1.495","0.00%"
"2023-8-3","1.495","1.495","1.495","1.495","0.00%"
"2023-8-2","1.495","1.495","1.495","1.495","0.00%"
"2023-8-1","1.495","1.495","1.495","1.495","0.00%"
"2023-7-31","1.495","1.515","1.515","1.495","-1.32%"
"2023-7-28","1.515","1.505","1.515","1.505","0.66%"
"2023-7-27","1.505","1.500","1.505","1.500","0.33%"
"2023-7-26","1.500","1.495","1.500","1.495","0.33%"
"2023-7-25","1.495","1.500","1.500","1.495","-0.33%"
"2023-7-24","1.500","1.500","1.500","1.500","-1.96%"
"2023-7-21","1.530","1.530","1.530","1.530","-0.97%"
"2023-7-20","1.545","1.545","1.545","1.545","-0.64%"
"2023-7-19","1.555","1.555","1.555","1.555","0.00%"
"2023-7-18","1.555","1.555","1.555","1.555","0.00%"
"2023-7-17","1.555","1.555","1.555","1.555","0.00%"
"2023-7-14","1.555","1.555","1.555","1.555","0.00%"
"2023-7-13","1.555","1.555","1.555","1.555","0.00%"
"2023-7-12","1.555","1.555","1.555","1.555","0.00%"
"2023-7-11","1.555","1.555","1.555","1.555","0.00%"
"2023-7-10","1.555","1.555","1.555","1.555","0.00%"
"2023-7-7","1.555","1.555","1.555","1.555","0.00%"
"2023-7-6","1.555","1.555","1.555","1.555","0.00%"
"2023-7-5","1.555","1.575","1.575","1.555","-1.27%"
"2023-7-4","1.575","1.575","1.575","1.575","0.00%"
"2023-7-3","1.575","1.565","1.575","1.565","0.64%"
"2023-6-30","1.565","1.560","1.565","1.560","0.32%"
"2023-6-29","1.560","1.560","1.560","1.560","0.00%"
"2023-6-28","1.560","1.560","1.560","1.560","0.00%"
"2023-6-27","1.560","1.560","1.560","1.560","0.00%"
"2023-6-26","1.560","1.560","1.560","1.560","0.00%"
"2023-6-23","1.560","1.560","1.560","1.560","0.00%"
"2023-6-22","1.560","1.560","1.560","1.560","0.00%"
"2023-6-21","1.560","1.560","1.560","1.560","0.00%"
"2023-6-20","1.560","1.560","1.560","1.560","0.00%"
"2023-6-19","1.560","1.565","1.565","1.560","-0.32%"
"2023-6-16","1.565","1.565","1.565","1.565","-0.63%"
"2023-6-15","1.575","1.585","1.585","1.575","-0.63%"
"2023-6-14","1.585","1.575","1.585","1.575","0.63%"
"2023-6-13","1.575","1.575","1.575","1.575","0.00%"
"2023-6-12","1.575","1.575","1.575","1.575","0.00%"
"2023-6-9","1.575","1.575","1.575","1.575","0.00%"
"2023-6-8","1.575","1.575","1.575","1.575","0.00%"
"2023-6-7","1.575","1.575","1.575","1.575","0.00%"
"2023-6-6","1.575","1.575","1.575","1.575","0.00%"
"2023-6-5","1.575","1.575","1.575","1.575","0.00%"
"2023-6-2","1.575","1.575","1.575","1.575","0.00%"
"2023-6-1","1.575","1.575","1.575","1.575","0.00%"
"2023-5-31","1.575","1.535","1.575","1.535","2.61%"
"2023-5-30","1.535","1.535","1.535","1.535","0.00%"
"2023-5-29","1.535","1.535","1.535","1.535","0.66%"
"2023-5-26","1.525","1.525","1.525","1.525","-0.65%"
"2023-5-25","1.535","1.535","1.535","1.535","0.00%"
"2023-5-24","1.535","1.535","1.535","1.535","0.00%"
"2023-5-23","1.535","1.535","1.535","1.535","0.00%"
"2023-5-22","1.535","1.535","1.535","1.535","0.00%"
"2023-5-19","1.535","1.545","1.545","1.535","-0.65%"
"2023-5-18","1.545","1.525","1.545","1.525","1.31%"
"2023-5-17","1.525","1.525","1.525","1.525","0.00%"
"2023-5-16","1.525","1.515","1.525","1.515","0.66%"
"2023-5-15","1.515","1.505","1.515","1.505","0.66%"
"2023-5-12","1.505","1.555","1.555","1.505","-3.22%"
"2023-5-11","1.555","1.515","1.555","1.515","2.67%"
"2023-5-10","1.515","1.513","1.515","1.513","0.13%"
"2023-5-9","1.513","1.565","1.565","1.513","-3.35%"
"2023-5-8","1.565","1.565","1.565","1.565","0.64%"
"2023-5-5","1.555","1.545","1.555","1.545","0.65%"
"2023-5-4","1.545","1.575","1.575","1.545","-1.90%"
"2023-5-3","1.575","1.575","1.575","1.575","0.00%"
"2023-5-2","1.575","1.585","1.585","1.575","-0.63%"
"2023-5-1","1.585","1.585","1.585","1.585","0.00%"
"2023-4-28","1.585","1.585","1.585","1.585","0.00%"
"2023-4-27","1.585","1.595","1.595","1.585","-0.63%"
"2023-4-26","1.595","1.555","1.595","1.555","2.57%"
"2023-4-25","1.555","1.555","1.555","1.555","0.00%"
"2023-4-24","1.555","1.555","1.555","1.555","0.00%"
"2023-4-21","1.555","1.560","1.560","1.520","-0.32%"
"2023-4-20","1.560","1.560","1.560","1.560","0.00%"
"2023-4-19","1.560","1.545","1.560","1.525","0.97%"
"2023-4-18","1.545","1.545","1.545","1.545","0.00%"
"2023-4-17","1.545","1.545","1.545","1.545","0.00%"
"2023-4-14","1.545","1.545","1.545","1.545","0.00%"
"2023-4-13","1.545","1.555","1.555","1.545","-0.64%"
"2023-4-12","1.555","1.515","1.555","1.515","2.64%"
"2023-4-11","1.515","1.515","1.515","1.515","0.00%"
"2023-4-10","1.515","1.515","1.515","1.515","-1.94%"
"2023-4-7","1.545","1.545","1.545","1.545","0.00%"
"2023-4-6","1.545","1.555","1.555","1.545","-0.64%"
"2023-4-5","1.555","1.555","1.555","1.555","0.00%"
"2023-4-4","1.555","1.555","1.555","1.555","0.00%"
"2023-4-3","1.555","1.555","1.555","1.555","0.00%"
"2023-3-31","1.555","1.545","1.555","1.545","0.65%"
